Quantify Compound Summary Report 

Printed Thu Dec 13 08:39:38 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
6	6	HS Batch 6	HS-313_repeat	Analyte		5.83	936029	1301631	0.719	bb	0.101921	
7	7	HS Batch 6	HS-314_repeat	Analyte		5.84	2306366	1318234	1.750	bb	0.266084	
8	8	HS Batch 6	HS-316_repeat	Analyte		5.85	1875467	1318494	1.422	bb	0.211169	
9	9	HS Batch 6	HS-317_repeat	Analyte		5.85	1741456	1359002	1.281	bb	0.188370	
10	10	HS Batch 6	HS-318_repeat	Analyte		5.85	1300814	1488751	0.874	bb	0.125037	
11	11	HS Batch 6	HS-5_248_2811_B_repeat	Analyte		5.85	3267371	1396981	2.339	bb	0.373573	
12	12	HS Batch 6	HS-5_266_2811_B_repeat	Analyte		5.85	3236138	1316357	2.458	bb	0.397013	
13	13	HS Batch 6	HS-319_repeat	Analyte		5.85	776797	1387873	0.560	bb	0.078566	
14	14	HS Batch 6	HS-320_repeat	Analyte		5.85	652091	1383845	0.471	bb	0.065800	
15	15	HS Batch 6	HS-321_repeat	Analyte		5.85	1320856	1400382	0.943	bb	0.135574	
16	16	HS Batch 6	HS-322_repeat	Analyte		5.85	1058508	1408585	0.751	bb	0.106719	
17	17	HS Batch 6	HS-323_repeat	Analyte		5.86	2136687	1348540	1.584	bb	0.237994	
18	18	HS Batch 6	HS-324_repeat	Analyte		5.86	2603150	1347344	1.932	bb	0.298079	
19	19	HS Batch 6	HS-5_248_2811_C_repeat	Analyte		5.86	3311040	1395931	2.372	bb	0.379991	
20	20	HS Batch 6	HS-5_266_2811_C_repeat	Analyte		5.86	3344943	1389439	2.407	bb	0.386935	
21	21	HS Batch 6	BLANK_28112018_B_repeat	Blank								
22	22	HS Batch 1	BLANK_07112018_A	Blank		4.54	86	119	0.721	bb	0.102214	
23	23	HS Batch 1	SalicinSTD_0015_0711_A	Standard	0.0000			435155				
24	24	HS Batch 1	SalicinSTD_003_0711_A	Standard	0.0000	4.98	154	450292	0.000	db	0.000046	
25	25	HS Batch 1	SalicinSTD_015_0711_A	Standard	0.0000			467967				
26	26	HS Batch 1	SalicinSTD_0375_0711_A	Standard	0.0000	4.86	122	469299	0.000	bb	0.000035	
27	27	HS Batch 1	BLANK_07112018_B	Blank		4.64	131	50	2.621	bb	0.429965	
28	28	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	0.0150	5.87	61921	505405	0.123	db	0.016772	11.8
29	29	HS Batch 1	SalicortinSTD_003_0711_A	Standard	0.0300	5.85	132019	526289	0.251	bb	0.034587	15.3
30	30	HS Batch 1	SalicortinSTD_015_0711_A	Standard	0.1500	5.85	586992	550080	1.067	bb	0.154620	3.1
31	31	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	0.3750	5.85	1276339	559202	2.282	bb	0.362717	-3.3
32	32	HS Batch 1	SalicortinSTD_075_0711_A	Standard	0.7500	5.83	2006471	535144	3.749	bb	0.710963	-5.2
33	33	HS Batch 1	SalicortinSTD_100_0711_A	Standard	1.0000	5.85	2445030	538973	4.536	bb	1.086880	8.7
34	34	HS Batch 1	BLANK_07112018_C	Blank		5.14	140	156	0.901	bb	0.129110	
35	35	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	0.0000			544691				
36	36	HS Batch 1	TremulacinSTD_003_0711_A	Standard	0.0000	5.81	135	614746	0.000	bd	0.000030	
37	37	HS Batch 1	TremulacinSTD_015_0711_A	Standard	0.0000	5.83	689	650126	0.001	db	0.000144	
38	38	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	0.0000	5.85	1203	590253	0.002	bb	0.000277	
39	39	HS Batch 1	TremulacinSTD_075_0711_A	Standard	0.0000	5.83	2593	632565	0.004	bb	0.000558	
40	40	HS Batch 1	TremulacinSTD_100_0711_A	Standard	0.0000	5.83	3183	601401	0.005	bb	0.000720	
41	41	HS Batch 1	BLANK_07112018_D	Blank		6.26	207	286	0.725	db	0.102747	
42	42	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	0.0000	5.22	9	592642	0.000	bb	0.000002	
43	43	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	0.0000			599975				
44	44	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	0.0000	5.83	1119	613942	0.002	bb	0.000248	
45	45	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	0.0000	5.83	1942	614047	0.003	db	0.000430	

Compound 3:  Tremuloidin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 6	HS-5_248_2811_A_repeat	Analyte		10.16	73325	1262717	0.058	bb	0.010993	
2	2	HS Batch 6	HS-5_266_2811_A_repeat	Analyte		10.13	57352	1203159	0.048	bb	0.009007	
3	3	HS Batch 6	HS-310_repeat	Analyte		10.13	44424	1319949	0.034	bb	0.006343	
4	4	HS Batch 6	HS-311_repeat	Analyte		10.13	90912	1301953	0.070	bb	0.013248	
5	5	HS Batch 6	HS-312_repeat	Analyte		10.13	32294	1251016	0.026	bb	0.004858	
6	6	HS Batch 6	HS-313_repeat	Analyte		10.13	18017	1301631	0.014	bb	0.002600	
7	7	HS Batch 6	HS-314_repeat	Analyte		10.13	231161	1318234	0.175	bb	0.033940	
8	8	HS Batch 6	HS-316_repeat	Analyte		10.13	45201	1318494	0.034	bb	0.006462	
9	9	HS Batch 6	HS-317_repeat	Analyte		10.13	25110	1359002	0.018	bb	0.003473	
10	10	HS Batch 6	HS-318_repeat	Analyte		10.13	29869	1488751	0.020	bb	0.003772	
11	11	HS Batch 6	HS-5_248_2811_B_repeat	Analyte		10.13	77177	1396981	0.055	bb	0.010453	
12	12	HS Batch 6	HS-5_266_2811_B_repeat	Analyte		10.13	64282	1316357	0.049	bb	0.009229	
13	13	HS Batch 6	HS-319_repeat	Analyte		10.13	167966	1387873	0.121	bb	0.023181	
14	14	HS Batch 6	HS-320_repeat	Analyte		10.13	328958	1383845	0.238	bb	0.046583	
15	15	HS Batch 6	HS-321_repeat	Analyte		10.13	42698	1400382	0.030	bb	0.005743	
16	16	HS Batch 6	HS-322_repeat	Analyte		10.13	121944	1408585	0.087	bb	0.016475	
17	17	HS Batch 6	HS-323_repeat	Analyte		10.13	79415	1348540	0.059	bb	0.011150	
18	18	HS Batch 6	HS-324_repeat	Analyte		10.13	88132	1347344	0.065	bb	0.012400	
19	19	HS Batch 6	HS-5_248_2811_C_repeat	Analyte		10.13	83500	1395931	0.060	bb	0.011328	
20	20	HS Batch 6	HS-5_266_2811_C_repeat	Analyte		10.13	81176	1389439	0.058	bb	0.011061	
21	21	HS Batch 6	BLANK_28112018_B_repeat	Blank		10.16	171			bb		
22	22	HS Batch 1	BLANK_07112018_A	Blank		10.11	502	119	4.226	bbI		
23	23	HS Batch 1	SalicinSTD_0015_0711_A	Standard	0.0000	10.13	373	435155	0.001	bb	0.000161	
24	24	HS Batch 1	SalicinSTD_003_0711_A	Standard	0.0000	9.81	145	450292	0.000	bb	0.000060	
25	25	HS Batch 1	SalicinSTD_015_0711_A	Standard	0.0000	10.18	812	467967	0.002	bb	0.000325	
26	26	HS Batch 1	SalicinSTD_0375_0711_A	Standard	0.0000			469299				
27	27	HS Batch 1	BLANK_07112018_B	Blank				50				
28	28	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	0.0000	10.16	289	505405	0.001	bb	0.000107	
29	29	HS Batch 1	SalicortinSTD_003_0711_A	Standard	0.0000			526289				
30	30	HS Batch 1	SalicortinSTD_015_0711_A	Standard	0.0000	9.86	128	550080	0.000	bb	0.000044	
31	31	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	0.0000	9.84	161	559202	0.000	bb	0.000054	
32	32	HS Batch 1	SalicortinSTD_075_0711_A	Standard	0.0000	9.84	127	535144	0.000	bb	0.000044	
33	33	HS Batch 1	SalicortinSTD_100_0711_A	Standard	0.0000			538973				
34	34	HS Batch 1	BLANK_07112018_C	Blank				156				
35	35	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	0.0000	10.31	599	544691	0.001	bb	0.000206	
36	36	HS Batch 1	TremulacinSTD_003_0711_A	Standard	0.0000	10.13	1035	614746	0.002	bb	0.000316	
37	37	HS Batch 1	TremulacinSTD_015_0711_A	Standard	0.0000	9.84	421	650126	0.001	bb	0.000121	
38	38	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	0.0000	10.13	1516	590253	0.003	bb	0.000481	
39	39	HS Batch 1	TremulacinSTD_075_0711_A	Standard	0.0000	10.13	1835	632565	0.003	bb	0.000544	
40	40	HS Batch 1	TremulacinSTD_100_0711_A	Standard	0.0000	10.11	1292	601401	0.002	bb	0.000403	
41	41	HS Batch 1	BLANK_07112018_D	Blank		10.23	372	286	1.303	bb	0.381534	
42	42	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	0.0150	10.11	50084	592642	0.085	bb	0.016077	7.2
43	43	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	0.0300	10.11	86746	599975	0.145	bb	0.027818	-7.3
44	44	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	0.1500	10.11	426835	613942	0.695	bb	0.152087	1.4
45	45	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	0.3750	10.11	792420	614047	1.290	bb	0.373387	-0.4

Compound 4:  Tremuloidin_2ion_isomer1

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 6	HS-5_248_2811_A_repeat	Analyte		8.86	4680	1262717	0.004	bbI		
2	2	HS Batch 6	HS-5_266_2811_A_repeat	Analyte		8.86	4628	1203159	0.004	bbI		
3	3	HS Batch 6	HS-310_repeat	Analyte		8.86	2239	1319949	0.002	bbI		
4	4	HS Batch 6	HS-311_repeat	Analyte		8.83	2439	1301953	0.002	bbI		
5	5	HS Batch 6	HS-312_repeat	Analyte		8.83	4785	1251016	0.004	bbI		
6	6	HS Batch 6	HS-313_repeat	Analyte		8.83	6004	1301631	0.005	bbI		
7	7	HS Batch 6	HS-314_repeat	Analyte		8.83	2246	1318234	0.002	bbI		
8	8	HS Batch 6	HS-316_repeat	Analyte		8.86	3999	1318494	0.003	bbI		
9	9	HS Batch 6	HS-317_repeat	Analyte		8.86	2992	1359002	0.002	bbI		
10	10	HS Batch 6	HS-318_repeat	Analyte		8.86	10883	1488751	0.007	bbI		
11	11	HS Batch 6	HS-5_248_2811_B_repeat	Analyte		8.86	4608	1396981	0.003	bbI		
12	12	HS Batch 6	HS-5_266_2811_B_repeat	Analyte		8.86	4628	1316357	0.004	bbI		
13	13	HS Batch 6	HS-319_repeat	Analyte		8.86	1134	1387873	0.001	bb	0.145880	
14	14	HS Batch 6	HS-320_repeat	Analyte		8.86	1456	1383845	0.001	bb	0.202730	
15	15	HS Batch 6	HS-321_repeat	Analyte		8.86	1922	1400382	0.001	bb	0.311353	
16	16	HS Batch 6	HS-322_repeat	Analyte		8.86	794	1408585	0.001	bb	0.094448	
17	17	HS Batch 6	HS-323_repeat	Analyte		8.86	3276	1348540	0.002	bbI		
18	18	HS Batch 6	HS-324_repeat	Analyte		8.86	1636	1347344	0.001	bb	0.250569	
19	19	HS Batch 6	HS-5_248_2811_C_repeat	Analyte		8.86	4672	1395931	0.003	bbI		
20	20	HS Batch 6	HS-5_266_2811_C_repeat	Analyte		8.86	5280	1389439	0.004	bbI		
21	21	HS Batch 6	BLANK_28112018_B_repeat	Blank								
22	22	HS Batch 1	BLANK_07112018_A	Blank				119				
23	23	HS Batch 1	SalicinSTD_0015_0711_A	Standard	0.0000	8.73	423	435155	0.001	bb	0.182124	
24	24	HS Batch 1	SalicinSTD_003_0711_A	Standard	0.0000	8.80	1235	450292	0.003	bbI		
25	25	HS Batch 1	SalicinSTD_015_0711_A	Standard	0.0000			467967				
26	26	HS Batch 1	SalicinSTD_0375_0711_A	Standard	0.0000	8.70	152	469299	0.000	bb	0.051419	
27	27	HS Batch 1	BLANK_07112018_B	Blank				50				
28	28	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	0.0150			505405				
29	29	HS Batch 1	SalicortinSTD_003_0711_A	Standard	0.0300	8.83	693	526289	0.001	bb	0.287369	857.9
30	30	HS Batch 1	SalicortinSTD_015_0711_A	Standard	0.1500	8.86	34	550080	0.000	bb	0.009434	-93.7
31	31	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	0.3750	8.88	561	559202	0.001	bb	0.190037	-49.3
32	32	HS Batch 1	SalicortinSTD_075_0711_A	Standard	0.7500	8.78	216	535144	0.000	bb	0.065329	-91.3
33	33	HS Batch 1	SalicortinSTD_100_0711_A	Standard	1.0000	8.65	62	538973	0.000	bb	0.017753	-98.2
34	34	HS Batch 1	BLANK_07112018_C	Blank				156				
35	35	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	0.0000	8.68	598	544691	0.001	bb	0.215058	
36	36	HS Batch 1	TremulacinSTD_003_0711_A	Standard	0.0000	8.83	684	614746	0.001	bb	0.219491	
37	37	HS Batch 1	TremulacinSTD_015_0711_A	Standard	0.0000	8.83	174	650126	0.000	bb	0.042090	
38	38	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	0.0000	8.78	39	590253	0.000	bb	0.009997	
39	39	HS Batch 1	TremulacinSTD_075_0711_A	Standard	0.0000	8.78	238	632565	0.000	bb	0.060518	
40	40	HS Batch 1	TremulacinSTD_100_0711_A	Standard	0.0000	8.91	589	601401	0.001	bb	0.184036	
41	41	HS Batch 1	BLANK_07112018_D	Blank				286				
42	42	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	0.0000	8.88	47	592642	0.000	bb	0.012015	
43	43	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	0.0000			599975				
44	44	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	0.0000	8.55	28	613942	0.000	bb	0.006846	
45	45	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	0.0000			614047				

Compound 5:  Tremuloidin_2ion_isomer2

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 6	HS-5_248_2811_A_repeat	Analyte		9.42	699	1262717	0.001	bb	0.106094	
2	2	HS Batch 6	HS-5_266_2811_A_repeat	Analyte		9.42	793	1203159	0.001	bb	0.128592	
3	3	HS Batch 6	HS-310_repeat	Analyte		9.42	1109	1319949	0.001	bb	0.169674	
4	4	HS Batch 6	HS-311_repeat	Analyte		9.39	2718	1301953	0.002	bbI		
5	5	HS Batch 6	HS-312_repeat	Analyte		9.39	5039	1251016	0.004	bbI		
6	6	HS Batch 6	HS-313_repeat	Analyte		9.42	2165	1301631	0.002	bb	0.433155	
7	7	HS Batch 6	HS-314_repeat	Analyte		9.39	1330	1318234	0.001	bb	0.211229	
8	8	HS Batch 6	HS-316_repeat	Analyte		9.42	3128	1318494	0.002	bbI		
9	9	HS Batch 6	HS-317_repeat	Analyte		9.42	2301	1359002	0.002	bb	0.448596	
10	10	HS Batch 6	HS-318_repeat	Analyte		9.42	3764	1488751	0.003	bbI		
11	11	HS Batch 6	HS-5_248_2811_B_repeat	Analyte		9.42	1081	1396981	0.001	bb	0.154298	
12	12	HS Batch 6	HS-5_266_2811_B_repeat	Analyte		9.39	1045	1316357	0.001	bb	0.158989	
13	13	HS Batch 6	HS-319_repeat	Analyte		9.42	1668	1387873	0.001	bb	0.263921	
14	14	HS Batch 6	HS-320_repeat	Analyte		9.42	3157	1383845	0.002	bbI		
15	15	HS Batch 6	HS-321_repeat	Analyte		9.42	1889	1400382	0.001	bb	0.309180	
16	16	HS Batch 6	HS-322_repeat	Analyte		9.42	589	1408585	0.000	bb	0.078382	
17	17	HS Batch 6	HS-323_repeat	Analyte		9.42	5134	1348540	0.004	bbI		
18	18	HS Batch 6	HS-324_repeat	Analyte		9.42	796	1347344	0.001	bb	0.113918	
19	19	HS Batch 6	HS-5_248_2811_C_repeat	Analyte		9.42	1022	1395931	0.001	bb	0.144890	
20	20	HS Batch 6	HS-5_266_2811_C_repeat	Analyte		9.42	1143	1389439	0.001	bb	0.165612	
21	21	HS Batch 6	BLANK_28112018_B_repeat	Blank		9.11	60			bb		
22	22	HS Batch 1	BLANK_07112018_A	Blank		9.39	150	119	1.262	bbI		
23	23	HS Batch 1	SalicinSTD_0015_0711_A	Standard	0.0000	9.11	583	435155	0.001	bb	0.305966	
24	24	HS Batch 1	SalicinSTD_003_0711_A	Standard	0.0000	9.26	74	450292	0.000	bb	0.029834	
25	25	HS Batch 1	SalicinSTD_015_0711_A	Standard	0.0000	9.19	347	467967	0.001	bb	0.146888	
26	26	HS Batch 1	SalicinSTD_0375_0711_A	Standard	0.0000			469299				
27	27	HS Batch 1	BLANK_07112018_B	Blank				50				
28	28	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	0.0150	9.21	307	505405	0.001	bb	0.117665	684.4
29	29	HS Batch 1	SalicortinSTD_003_0711_A	Standard	0.0300			526289				
30	30	HS Batch 1	SalicortinSTD_015_0711_A	Standard	0.1500	9.21	504	550080	0.001	bb	0.187961	25.3
31	31	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	0.3750	9.47	584	559202	0.001	bb	0.220707	-41.1
32	32	HS Batch 1	SalicortinSTD_075_0711_A	Standard	0.7500	9.54	258	535144	0.000	bb	0.091280	-87.8
33	33	HS Batch 1	SalicortinSTD_100_0711_A	Standard	1.0000	9.42	1427	538973	0.003	bbI		-100.0
34	34	HS Batch 1	BLANK_07112018_C	Blank		9.34	505	156	3.240	bbI		
35	35	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	0.0000	9.21	50	544691	0.000	bb	0.016296	
36	36	HS Batch 1	TremulacinSTD_003_0711_A	Standard	0.0000			614746				
37	37	HS Batch 1	TremulacinSTD_015_0711_A	Standard	0.0000	9.26	229	650126	0.000	bb	0.065251	
38	38	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	0.0000	9.47	505	590253	0.001	bb	0.173581	
39	39	HS Batch 1	TremulacinSTD_075_0711_A	Standard	0.0000			632565				
40	40	HS Batch 1	TremulacinSTD_100_0711_A	Standard	0.0000	9.16	521	601401	0.001	bb	0.176092	
41	41	HS Batch 1	BLANK_07112018_D	Blank				286				
42	42	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	0.0000	9.26	24	592642	0.000	bb	0.007206	
43	43	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	0.0000	9.34	123	599975	0.000	bb	0.037262	
44	44	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	0.0000	9.19	631	613942	0.001	bb	0.216358	
45	45	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	0.0000			614047				

Compound 6:  HCH_salicortin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 6	HS-5_248_2811_A_repeat	Analyte		10.40	784	1262717	0.001	bb	0.321176	
2	2	HS Batch 6	HS-5_266_2811_A_repeat	Analyte		10.38	871	1203159	0.001	bbI		
3	3	HS Batch 6	HS-310_repeat	Analyte		10.38	3468	1319949	0.003	bbI		
4	4	HS Batch 6	HS-311_repeat	Analyte		10.38	2078	1301953	0.002	bbI		
5	5	HS Batch 6	HS-312_repeat	Analyte		10.36	2620	1251016	0.002	bbI		
6	6	HS Batch 6	HS-313_repeat	Analyte		10.36	2303	1301631	0.002	bbI		
7	7	HS Batch 6	HS-314_repeat	Analyte		10.38	1078	1318234	0.001	bbI		
8	8	HS Batch 6	HS-316_repeat	Analyte		10.38	1034	1318494	0.001	bbI		
9	9	HS Batch 6	HS-317_repeat	Analyte		10.38	758	1359002	0.001	bb	0.267915	
10	10	HS Batch 6	HS-318_repeat	Analyte		10.38	3928	1488751	0.003	bbI		
11	11	HS Batch 6	HS-5_248_2811_B_repeat	Analyte		10.38	1286	1396981	0.001	bbI		
12	12	HS Batch 6	HS-5_266_2811_B_repeat	Analyte		10.38	1033	1316357	0.001	bbI		
13	13	HS Batch 6	HS-319_repeat	Analyte		10.38	6120	1387873	0.004	bbI		
14	14	HS Batch 6	HS-320_repeat	Analyte		10.38	2953	1383845	0.002	bbI		
15	15	HS Batch 6	HS-321_repeat	Analyte		10.38	554	1400382	0.000	bb	0.167410	
16	16	HS Batch 6	HS-322_repeat	Analyte		10.38	3111	1408585	0.002	bbI		
17	17	HS Batch 6	HS-323_repeat	Analyte		10.38	637	1348540	0.000	bb	0.210679	
18	18	HS Batch 6	HS-324_repeat	Analyte		10.38	2555	1347344	0.002	bbI		
19	19	HS Batch 6	HS-5_248_2811_C_repeat	Analyte		10.38	1158	1395931	0.001	bbI		
20	20	HS Batch 6	HS-5_266_2811_C_repeat	Analyte		10.38	1570	1389439	0.001	bbI		
21	21	HS Batch 6	BLANK_28112018_B_repeat	Blank		10.48	49			bb		
22	22	HS Batch 1	BLANK_07112018_A	Blank				119				
23	23	HS Batch 1	SalicinSTD_0015_0711_A	Standard	0.0000	10.33	42	435155	0.000	bb	0.035165	
24	24	HS Batch 1	SalicinSTD_003_0711_A	Standard	0.0000	10.21	149	450292	0.000	bb	0.134312	
25	25	HS Batch 1	SalicinSTD_015_0711_A	Standard	0.0000	10.21	103	467967	0.000	bb	0.085178	
26	26	HS Batch 1	SalicinSTD_0375_0711_A	Standard	0.0000	10.48	18	469299	0.000	bb	0.013672	
27	27	HS Batch 1	BLANK_07112018_B	Blank				50				
28	28	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	0.0150	10.52	183	505405	0.000	bb	0.149905	899.4
29	29	HS Batch 1	SalicortinSTD_003_0711_A	Standard	0.0300	10.33	180	526289	0.000	bb	0.139760	365.9
30	30	HS Batch 1	SalicortinSTD_015_0711_A	Standard	0.1500	10.28	100	550080	0.000	bb	0.068946	-54.0
31	31	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	0.3750	10.06	13	559202	0.000	bb	0.008110	-97.8
32	32	HS Batch 1	SalicortinSTD_075_0711_A	Standard	0.7500	10.36	270	535144	0.001	bb	0.231207	-69.2
