SerialNo,Tree.ID,Genet.Compound,Genet.2014,Geno.Hilary,Genet.SSR,Latitude,Longitude,Block,Row,Position,RowA,PosA,Dist.Edge,SNPFlag.01,SeqFlag.01,SSRFlag.01,SexMkrFlag.01,Ploidy,Hybrid.01,,PlantingDate,PlantingYear,Age.2016,Vol.2012,Vol.2015,Vol.2016,Vol.2017,Vol.2018,GrowLn.1516,GrowLn.1617,GrowLn.1718,GrowLn.1518,ExclusionFlag,ExclusionFlagCode,Comments.2015,Comments.2016,Comments.2017,Comments.2018,BknLdr.2015,BknLdr.2017,BBreakDegDay.2014,BBreakDegDay.2015,BBreakDegDay.2016,BBreakDegDay.2017,Sex.2017,Sex.2018,Sex.Genet,Sex.TOZ19,SexTOZ19.01,TOZcheck.Ramet,FlTwigs.2017,FlTwigs.2018,ALA.J2016,ALA.A2016,ALA.J2017,ALA.A2017,SLA.2014,SLA.2015,SLA.J2016,SLA.A2016,SLA.J2017,SLA.A2017,CT.2014,CT.2015,CT.J2016,CT.A2016,CT.J2017,CT.A2017,PGsum.2014,PGsum.2015,PGsum.J2016,PGsum.A2016,PGsum.J2017.JenaEQ,PGsum.A2017,Scort.2014,Scort.2015,Tcin.2014,Tcin.2015,Scin.J2016,Scort.J2016,Tcin.J2016,Tdin.J2016,Scin.A2016,Scort.A2016,Tcin.A2016,Tdin.A2016,Scin.J2017.JenaEQ,Scort.J2017.JenaEQ,Tcin.J2017.JenaEQ,Tdin.J2017.JenaEQ,Scin.A2017,Scort.A2017,Tcin.A2017,Tdin.A2017,SA.J2017,JA.J2017,JAIle.J2017,ABA.J2017,BAgluc.J2017,Cpct.J2016,Cpct.A2016,Cpct.J2017,Cpct.A2017,Npct.2014,Npct.2015,Npct.J2016,Npct.A2016,Npct.J2017,Npct.A2017,CN.2014,CN.2015,CN.J2016,CN.A2016,CN.J2017,CN.A2017,EFNMean.2014,EFNMean.2016,EFNMean.2017,Venturia.2017,LeafAreaSum.2016,LeafAreaSum.2017,DiseaseEdgePct.2016,DiseaseEdgePct.2017,ScrapHolePct.2016,ScrapHolePct.2017,DamagePct.2016,DamagePct.2017,INSECTS - multiple columns or separate file
1006,3_H_26,3,3,3,,43.55093917,-89.56943894,3,H,26,H,26,7,0,0,0,0,2,0,0,9/9/2010,2010,6,0.0,3.4,14.1,28.3,54.2,1.42,0.69,0.65,2.77,,,,,,,,,184.8,311.0,219.8,228.2,,,F,,NA,,0,0,15.27,16.06,16.65,14.22,159.93,131.62,141.67,130.03,145.97,150.25,15.88,14.73,7.59,13.05,12.25,8.34,6.10,5.96,4.05,4.89,3.27,2.11,3.76,3.77,2.34,2.19,0.17,3.42,3.26,0.06,0.30,2.23,2.24,0.11,0.31,2.45,0.49,0.02,0.15,1.20,0.70,0.06,800.80,671.89,212.05,53.43,96794.76,,47.81,,,2.18,2.32,,2.17,,,23.16,20.90,,22.10,,,0.25,0.33,0.58,1,195.13,171.86,3.18,2.55,1.73,2.71,4.91,5.25,
339,1_M_3,4,4,4,,43.55062818,-89.56943894,1,M,3,M,3,2,0,0,0,0,2,0,0,9/9/2010,2010,6,0.6,12.4,34.4,69.4,114.8,1.02,0.70,0.50,2.22,,,,,,,,,157.1,299.5,207.5,196.9,,,,,NA,,0,0,16.98,14.91,18.42,18.29,129.60,157.64,145.07,150.07,154.23,150.65,15.47,9.06,8.61,8.49,9.12,8.51,3.75,4.46,2.35,2.07,3.13,2.01,2.63,3.27,1.12,1.19,0.13,1.38,0.82,0.02,0.25,1.09,0.67,0.05,0.34,2.27,0.49,0.03,0.17,1.13,0.66,0.05,1557.77,1367.04,113.94,60.34,103557.42,,47.32,,,2.14,2.39,,2.15,,,23.79,20.28,,22.14,,,0.42,0.42,0.73,1,180.95,221.86,2.42,3.15,1.29,2.34,3.72,5.49,
507,2_E_3,4,4,4,214,43.55062818,-89.56943894,2,E,3,E,3,5,1,0,1,1,2,0,0,9/9/2010,2010,6,0.4,9.6,32.5,67.1,106.8,1.22,0.72,0.46,2.41,,,,,,,,,177.5,293.4,207.5,204.7,,,,,1,,0,0,21.51,16.32,18.60,21.97,141.09,168.89,157.89,140.55,179.85,170.98,14.14,11.43,8.9,7.62,9.81,6.82,5.32,4.10,2.10,1.69,2.37,1.82,3.41,2.94,1.91,1.16,0.12,1.22,0.74,0.03,0.23,0.87,0.54,0.04,0.29,1.68,0.39,0.02,0.14,1.04,0.60,0.04,245.50,2342.22,232.48,70.57,63926.86,,46.25,,,2.20,2.39,,2.04,,,23.15,20.43,,22.95,,,0.67,0.50,0.17,1,198.30,308.54,5.68,3.15,1.41,1.20,7.09,4.35,
880,3_D_12,4,4,4,,43.55062818,-89.56943894,3,D,12,D,12,4,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,0.1,1.2,6.0,17.7,2.55,1.65,1.08,5.29,,,,,,,,,194.2,311.0,212.8,218.1,,,,,NA,,0,0,16.86,14.08,15.74,15.93,123.71,138.08,135.33,127.69,153.30,140.12,21.97,6.35,10.73,12.63,8.41,8.62,10.70,14.69,3.62,3.62,4.12,2.83,6.47,8.11,4.23,6.58,0.19,1.92,1.46,0.05,0.27,1.70,1.57,0.08,0.49,2.90,0.70,0.03,0.22,1.63,0.91,0.07,773.88,3312.66,812.52,60.37,107304.84,,49.35,,,1.87,2.06,,1.82,,,27.22,24.64,,27.10,,,1.17,0.75,0.33,23,170.87,319.85,6.43,7.30,1.78,3.22,8.21,10.52,
940,3_F_16,4,4,4,,43.55062818,-89.56943894,3,F,16,F,16,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.0,2.4,12.5,32.0,70.3,1.66,0.94,0.79,3.38,,,,,,,,,177.5,311.0,229.5,213.1,,,,,NA,,0,0,16.54,13.96,14.54,16.05,142.62,141.85,149.97,141.45,174.56,159.75,14.03,13.83,9.43,9.93,8.30,6.93,8.93,5.05,2.52,2.91,3.27,1.64,5.54,3.53,3.39,1.52,0.10,1.52,0.87,0.02,0.21,1.47,1.15,0.07,0.41,2.24,0.58,0.03,0.14,0.97,0.49,0.04,851.53,2572.35,669.91,53.40,82237.83,,47.46,,,1.93,2.15,,1.89,,,25.85,23.53,,25.44,,,0.83,0.33,0.67,16,168.85,193.30,3.90,1.75,1.58,1.59,5.48,3.34,
1261,4_D_1,4,4,4,,43.55062818,-89.56943894,4,D,1,D,1,4,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,5.0,21.5,50.9,106.6,1.46,0.86,0.74,3.06,,,,,,,,,184.8,299.5,207.5,213.1,,,,,NA,,0,0,20.80,18.30,18.41,17.61,142.74,148.96,159.46,152.63,162.98,155.03,13.58,13.30,7.74,8.84,8.15,7.51,8.00,5.02,2.68,2.88,2.83,1.72,5.21,3.44,2.79,1.58,0.32,1.81,0.52,0.04,0.23,1.47,1.12,0.06,0.26,2.08,0.46,0.03,0.13,0.99,0.55,0.05,396.25,3142.12,404.39,69.09,62065.62,,47.48,,,1.91,2.17,,1.91,,,26.73,22.81,,25.09,,,0.83,0.25,0.25,2,221.04,216.17,2.87,4.03,1.73,5.18,4.60,9.21,
254,1_J_2,5,5,5,,43.55074009,-89.56943894,1,J,2,J,2,2,0,0,0,0,2,0,0,9/9/2010,2010,6,0.4,12.0,37.5,76.0,133.1,1.14,0.71,0.56,2.41,,,,,,,,,157.1,232.6,219.8,213.1,M,,M,,NA,,4,0,12.52,9.69,17.60,16.56,134.06,147.43,141.16,144.18,159.10,165.09,18.61,14.83,10.52,9.57,11.68,10.25,3.60,5.89,3.80,3.43,4.73,3.61,2.45,3.77,1.15,2.12,0.14,2.04,1.56,0.05,0.21,1.81,1.36,0.05,0.40,3.32,0.97,0.04,0.21,1.96,1.33,0.11,1904.04,2190.38,843.78,104.56,112782.95,,46.98,,,2.26,2.61,,2.33,,,22.07,17.99,,19.74,,,0.25,0.33,0.42,1,117.20,199.56,2.23,1.20,1.04,1.74,3.28,2.94,
586,2_G_26,5,5,5,540,43.55074009,-89.56943894,2,G,26,G,26,7,1,0,1,1,2,0,0,9/9/2010,2010,6,0.1,6.0,19.2,42.7,78.1,1.17,0.80,0.60,2.57,,,,,,,,,177.5,282.0,207.5,204.7,,,M,,1,,0,0,15.42,11.47,15.25,17.54,139.72,147.97,142.69,132.66,174.07,149.59,19.68,17.44,12.13,10.33,10.70,9.21,4.35,5.90,2.58,1.97,4.86,2.44,2.97,4.22,1.38,1.68,0.11,1.49,0.95,0.04,0.22,0.90,0.79,0.06,0.35,3.48,0.98,0.04,0.23,1.27,0.85,0.09,1876.83,727.88,176.47,52.72,84363.20,,46.55,,,2.40,2.57,,2.37,,,20.84,18.74,,19.30,,,0.42,0.50,0.08,23,138.64,212.17,2.43,3.05,0.95,1.97,3.38,5.02,
950,3_F_26,5,5,5,,43.55074009,-89.56943894,3,F,26,F,26,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,4.7,17.1,41.4,100.8,1.28,0.88,0.89,3.06,,,,,,,,,177.5,299.5,229.5,213.1,,,M,,NA,,0,0,13.97,14.54,16.17,16.72,147.62,145.38,139.36,135.28,164.49,151.06,17.74,15.35,14.02,11.71,10.32,8.80,6.85,4.36,3.88,3.84,4.71,3.29,4.39,3.20,2.46,1.16,0.14,2.17,1.54,0.04,0.24,1.88,1.63,0.08,0.50,3.11,1.05,0.05,0.18,1.78,1.24,0.09,1644.06,1093.76,233.03,65.26,106311.12,,47.80,,,2.22,2.47,,2.23,,,22.51,19.60,,21.56,,,1.00,0.83,0.25,1,174.87,201.71,5.15,2.20,1.08,1.54,6.23,3.74,
1317,4_F_1,5,5,5,,43.55074009,-89.56943894,4,F,1,F,1,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,3.4,13.9,34.3,75.4,1.40,0.91,0.79,3.09,,,,,,,,,177.5,299.5,207.5,222.9,,,M,,NA,,0,0,14.20,13.80,15.67,15.93,130.06,143.84,147.83,130.41,155.52,147.85,18.32,15.13,13.7,11.18,12.39,9.72,5.75,6.52,5.57,3.02,4.87,2.31,3.94,4.55,1.81,1.97,0.40,3.55,1.51,0.11,0.25,1.51,1.18,0.08,0.38,3.45,1.01,0.04,0.15,1.19,0.88,0.09,2558.56,922.23,365.55,65.05,86921.87,,47.51,,,2.29,2.30,,2.27,,,22.07,21.21,,20.51,,,0.58,0.17,0.25,2,166.59,193.13,3.23,1.88,1.45,2.80,4.68,4.68,
2195,4_EB_11,5,5,5,,43.55074009,-89.56943894,4,EB,11,EB,11,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.2,6.7,22.6,61.0,112.5,1.21,0.99,0.61,2.81,,,,,,,,,157.1,267.7,207.5,188.8,,M,M,,NA,,0,3,10.99,11.15,14.24,14.61,130.27,143.45,123.21,124.64,146.72,145.51,17.69,16.33,14.8,9.24,15.07,8.43,3.94,4.89,3.89,3.13,4.31,2.65,2.95,3.34,0.99,1.55,0.13,2.12,1.59,0.04,0.24,1.57,1.25,0.07,0.49,2.92,0.85,0.05,0.17,1.43,0.97,0.08,1866.97,537.09,155.07,94.78,80472.89,,47.30,,,2.30,2.35,,2.25,,,21.56,21.32,,20.94,,,NA,0.33,0.50,NA,134.89,331.33,3.37,1.56,1.33,4.11,4.70,5.67,
156,1_F_16,6,6,6,,43.55083794,-89.56943894,1,F,16,F,16,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,0.9,3.6,9.3,15.3,1.39,0.95,0.50,2.84,,,,,old BL @ 6'66'',,,,230.7,356.2,250.5,272.5,,,M,,NA,,0,0,13.58,12.96,11.73,9.11,120.63,121.90,134.97,126.78,161.15,162.47,26.24,22.59,10.29,12.86,14.33,6.94,6.70,6.10,4.49,5.08,4.31,2.77,3.98,3.86,2.72,2.24,0.13,2.48,1.83,0.04,0.21,1.80,1.71,0.08,0.36,3.22,0.70,0.03,0.20,1.62,0.88,0.07,1574.71,1462.91,285.39,82.52,107390.68,,49.40,,,1.86,1.91,,1.96,,,26.58,26.14,,25.64,,,0.67,0.50,0.50,1,155.88,116.72,3.74,1.99,1.02,8.15,4.76,10.14,
602,2_H_14,6,6,6,123,43.55083794,-89.56943894,2,H,14,H,14,7,1,0,1,1,2,0,0,9/9/2010,2010,6,0.1,5.2,17.3,37.6,69.7,1.21,0.78,0.62,2.60,,,,,,,,,221.5,327.4,239.5,265.8,,M,M,,1,1,0,5,15.11,10.76,13.97,13.13,115.41,133.39,137.42,128.68,169.12,144.87,17.14,18.51,13.76,10.24,15.38,12.08,11.72,6.32,2.59,1.39,4.54,2.23,6.78,4.27,4.94,2.05,0.09,1.57,0.90,0.02,0.16,0.80,0.56,0.03,0.33,3.44,0.75,0.03,0.14,1.34,0.71,0.04,1563.99,1038.42,318.44,41.61,75720.45,,48.47,,,2.10,2.26,,2.03,,,24.07,22.13,,24.72,,,1.25,0.58,0.58,1,132.28,329.10,6.50,2.06,4.10,1.43,10.59,3.48,
1249,4_C_17,6,6,6,,43.55083794,-89.56943894,4,C,17,C,17,3,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,0.8,6.4,14.4,27.0,2.07,0.81,0.63,3.51,,,,,,,,,221.5,356.2,246.8,265.8,M,,M,,NA,,2,0,10.68,9.80,13.85,13.62,120.49,122.23,152.64,138.18,146.70,145.36,21.87,22.27,9.6,11.4,15.15,14.17,7.46,4.83,2.68,1.26,3.45,2.07,4.72,3.24,2.74,1.59,0.10,1.70,1.03,0.03,0.09,0.65,0.38,0.02,0.24,2.73,0.46,0.02,0.13,1.22,0.68,0.04,1170.21,769.55,217.00,62.05,59251.22,,48.86,,,1.99,2.39,,2.09,,,25.32,20.89,,23.71,,,0.92,0.33,0.33,1,118.39,274.58,2.88,3.30,1.13,2.57,4.01,5.87,
102,1_D_18,7,7,7,,43.55093091,-89.56943894,1,D,18,D,18,4,0,0,0,0,2,0,0,9/9/2010,2010,6,0.2,1.1,5.9,13.9,25.9,1.69,0.85,0.62,3.17,,,,,,,x,,244.1,368.2,253.3,278.4,,,,,NA,,0,0,13.78,13.34,13.15,15.08,114.69,126.56,145.31,128.73,160.13,140.20,25.66,17.39,13.03,9.4,9.54,9.19,6.75,7.64,3.87,1.62,5.21,3.15,3.88,4.81,2.87,2.83,0.13,2.19,1.51,0.05,0.12,0.84,0.61,0.04,0.43,3.74,1.02,0.03,0.16,1.77,1.14,0.08,1122.55,1342.41,205.60,60.51,66436.58,,47.06,,,1.77,2.57,,2.26,,,27.62,18.82,,20.71,,,0.46,0.83,0.67,1,161.69,224.78,5.57,2.37,1.35,6.88,6.92,9.25,
535,2_F_3,7,7,7,,43.55093091,-89.56943894,2,F,3,F,3,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.2,3.5,11.1,29.6,52.2,1.15,0.98,0.57,2.70,,,,large second branch at 1 m = 31.46,,,,,244.1,364.5,278.1,273.4,,,,,NA,,0,0,13.82,13.74,15.02,18.17,112.18,142.16,137.09,129.03,166.45,161.80,19.22,13.73,13.28,12.43,12.22,8.14,9.63,6.56,2.56,2.24,5.70,3.52,5.16,4.13,4.47,2.43,0.08,1.40,1.04,0.03,0.16,1.08,0.95,0.05,0.58,3.87,1.21,0.04,0.17,2.05,1.22,0.08,262.89,669.70,201.75,38.33,32954.28,,47.12,,,2.33,2.61,,1.97,,,21.86,18.00,,23.98,,,0.67,0.75,0.08,1,167.25,219.08,6.98,2.29,2.13,1.33,9.11,3.62,
1108,3_L_16,7,7,7,,43.55093091,-89.56943894,3,L,16,L,16,3,0,0,0,0,2,0,0,9/9/2010,2010,6,0.3,10.2,27.0,56.3,107.8,0.98,0.73,0.65,2.36,,,,,,,,,244.1,368.2,264.7,277.6,,,,,NA,,0,0,13.71,14.96,15.18,17.55,121.20,127.50,135.77,127.46,156.55,147.85,16.74,18.39,11.59,11.22,11.81,10.18,9.18,6.24,2.63,2.64,5.92,4.33,5.31,4.21,3.87,2.03,0.09,1.47,1.04,0.03,0.16,1.36,1.06,0.06,0.46,4.06,1.36,0.04,0.21,2.37,1.67,0.08,677.45,854.69,310.66,53.47,42788.59,,46.97,,,2.07,2.32,,2.18,,,23.86,21.21,,21.41,,,0.58,0.75,0.67,0,180.48,281.99,0.82,1.65,0.81,1.80,1.64,3.45,
1384,4_H_12,7,7,7,,43.55093091,-89.56943894,4,H,12,H,12,7,0,0,0,0,2,0,0,9/9/2010,2010,6,0.2,2.4,13.5,31.4,55.9,1.73,0.85,0.58,3.15,,,,,,,,,244.1,356.2,285.7,285.1,,,,,NA,,0,0,13.56,14.72,15.72,16.55,118.09,123.99,133.51,121.29,143.74,146.84,18.42,16.91,12.4,8.33,14.12,11.33,7.90,7.51,3.53,1.99,6.17,4.09,4.23,4.52,3.67,2.99,0.11,1.91,1.48,0.03,0.13,0.98,0.84,0.05,0.37,4.21,1.55,0.03,0.20,2.23,1.57,0.09,981.30,587.42,147.17,35.71,49353.26,,46.00,,,2.00,2.02,,2.09,,,25.46,24.38,,23.03,,,1.50,0.67,0.17,1,176.71,199.02,2.85,1.95,1.22,1.11,4.07,3.06,
